-453.580231	-569.490234
-450.909607	-572.912964
-499.452026	-601.604919
-393.526215	-517.155029
-431.448853	-556.136353
-468.447052	-580.800171
-462.888489	-588.599121
-530.479370	-655.505798
-471.926819	-593.954651
-579.576538	-696.776428
-439.831940	-561.863525
-408.633606	-534.217041
-469.576935	-591.218384
-486.940521	-587.815002
-436.812042	-562.491638
-481.446808	-578.511230
-423.716431	-542.385437
-447.199432	-524.048645
-422.241241	-543.798157
-445.435913	-564.969788
-462.140167	-586.841431
-448.533325	-537.156067
-412.326324	-536.091003
-490.871033	-602.174438
-520.607971	-646.034119
-417.281708	-539.996582
-417.834564	-542.924561
-445.359802	-570.427429
-471.059631	-593.841858
-420.035034	-538.300903
-463.862915	-589.222595
-458.404541	-570.448486
-526.955811	-652.447571
-453.333282	-572.299133
-479.339142	-604.809387
-444.792572	-569.411194
-515.908630	-636.851562
-453.928680	-579.701660
-449.468567	-574.297729
-434.631409	-559.896484
-437.211823	-558.954651
-382.468811	-507.836121
-430.356262	-556.127014
-461.990387	-585.348389
-425.166138	-546.147888
-431.163574	-555.928589
-450.327789	-568.577698
-473.118439	-592.180359
-471.759369	-587.095703
-445.273712	-566.583435
-397.506592	-519.662781
-438.046448	-559.452576
-464.982697	-558.323547
-546.388611	-670.666016
-403.333282	-527.995789
-447.210510	-571.965454
-538.258911	-663.870972
-504.524506	-606.077209
-462.250885	-587.657715
-481.983887	-606.907593
-474.718750	-598.507751
-440.738251	-561.010864
-396.257080	-521.778076
-501.470093	-620.972717
-487.017517	-607.318848
-442.508850	-567.883240
-426.732361	-542.987976
-433.154358	-544.755554
-419.171021	-544.616394
-581.434570	-699.884033
-538.839600	-651.027649
-450.988617	-575.420166
-503.831726	-627.313049
-683.696716	-809.223267
-496.469177	-622.013245
-471.649078	-596.286377
-431.157471	-541.593323
-477.824158	-597.607910
-494.962494	-615.428833
-405.358856	-515.670776
-474.448822	-594.680237
-469.601410	-595.076233
-545.962158	-668.523682
-436.084412	-557.002075
-441.939941	-563.281189
-466.716278	-590.041626
-396.076111	-521.735107
-437.465973	-556.665833
-456.885895	-582.359436
-463.539581	-579.150940
-456.749725	-578.362671
-469.788422	-595.382996
-417.883057	-538.688171
